                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.85756,                0.87021,                 1.3566,                0.89489,                0.67681,                0.81916,                0.60031,                 1.0087,                0.93604,                 1.5112,              0.0012476,              0.0012476,              0.0012476
                     79,                0.85813,                0.88593,                 1.3499,                0.80857,                0.73768,                 0.8219,                0.60832,                 1.0079,                0.90229,                 1.5069,              0.0012377,              0.0012377,              0.0012377
                     80,                0.86356,                0.87117,                 1.3599,                0.83764,                0.73333,                0.81765,                0.60549,                 1.0222,                0.92392,                 1.5312,              0.0012278,              0.0012278,              0.0012278
                     81,                0.85275,                0.86266,                 1.3476,                0.85394,                0.71594,                0.82782,                0.61269,                0.99658,                0.90967,                 1.5006,              0.0012179,              0.0012179,              0.0012179
                     82,                0.85335,                0.85398,                  1.349,                0.88435,                0.70924,                0.82567,                0.61669,                0.98596,                0.88212,                 1.4991,               0.001208,               0.001208,               0.001208
                     83,                0.84616,                0.84469,                 1.3452,                0.83612,                0.73201,                0.82398,                0.60861,                 1.0061,                0.89244,                 1.5096,              0.0011981,              0.0011981,              0.0011981
                     84,                0.83944,                0.84043,                 1.3405,                 0.8624,                    0.7,                0.82342,                0.60825,                0.99768,                0.90072,                    1.5,              0.0011882,              0.0011882,              0.0011882
                     85,                0.85494,                0.85959,                 1.3474,                0.85379,                0.68549,                0.81573,                0.60743,                0.98629,                0.91066,                 1.4974,              0.0011783,              0.0011783,              0.0011783
                     86,                0.82994,                0.83856,                 1.3321,                0.83325,                0.72419,                0.82285,                0.61436,                0.99443,                0.89985,                 1.4843,              0.0011684,              0.0011684,              0.0011684
                     87,                0.85093,                0.85371,                 1.3498,                0.86155,                0.72146,                0.82811,                0.61605,                0.98992,                0.89021,                 1.4936,              0.0011585,              0.0011585,              0.0011585
                     88,                0.82909,                0.82877,                 1.3354,                0.88233,                0.71159,                 0.8273,                 0.6151,                0.99843,                0.88779,                  1.499,              0.0011486,              0.0011486,              0.0011486
                     89,                 0.8277,                0.82253,                 1.3304,                 0.8557,                0.72899,                0.82782,                0.62122,                0.98197,                0.87146,                 1.4921,              0.0011387,              0.0011387,              0.0011387
                     90,                0.82909,                0.82194,                 1.3329,                0.91206,                0.67636,                0.82504,                0.61511,                0.99148,                0.88007,                  1.501,              0.0011288,              0.0011288,              0.0011288
                     91,                0.83096,                0.82101,                 1.3253,                0.89346,                 0.6971,                0.82531,                0.61588,                0.99724,                0.89502,                 1.4989,              0.0011189,              0.0011189,              0.0011189
                     92,                 0.8361,                 0.8393,                 1.3336,                0.88489,                  0.713,                0.83359,                0.61696,                0.99795,                0.85761,                 1.5053,               0.001109,               0.001109,               0.001109
                     93,                0.84008,                0.81529,                 1.3281,                0.87685,                0.71201,                0.83201,                 0.6251,                0.98478,                0.87903,                 1.4897,              0.0010991,              0.0010991,              0.0010991
                     94,                0.81972,                0.82464,                 1.3219,                0.83562,                0.76619,                0.83595,                0.62888,                0.98357,                 0.8615,                  1.491,              0.0010892,              0.0010892,              0.0010892
                     95,                0.82191,                0.80364,                 1.3194,                0.91057,                 0.7029,                0.83932,                0.63108,                 0.9901,                0.88046,                 1.4816,              0.0010793,              0.0010793,              0.0010793
                     96,                0.81805,                0.80312,                 1.3201,                0.84075,                0.75362,                0.83943,                0.62538,                0.97294,                0.86346,                 1.4723,              0.0010694,              0.0010694,              0.0010694
                     97,                0.82663,                0.80874,                 1.3289,                0.88213,                0.73755,                0.84038,                0.62212,                0.98484,                0.85837,                 1.4827,              0.0010595,              0.0010595,              0.0010595
                     98,                0.82053,                0.81711,                  1.329,                0.82236,                0.75942,                0.83361,                 0.6199,                0.99702,                0.86774,                 1.5095,              0.0010496,              0.0010496,              0.0010496
                     99,                0.80877,                 0.7901,                 1.3144,                0.87808,                0.72609,                0.83673,                0.61746,                0.98737,                0.86289,                 1.4868,              0.0010397,              0.0010397,              0.0010397
                    100,                0.79797,                0.77434,                 1.3071,                0.88652,                0.72754,                0.84077,                0.62876,                 0.9832,                0.84427,                 1.4774,              0.0010298,              0.0010298,              0.0010298
                    101,                0.81466,                 0.8026,                 1.3169,                0.85358,                0.75797,                0.84175,                 0.6263,                0.98338,                0.85669,                 1.4854,              0.0010199,              0.0010199,              0.0010199
